# 발제 소재 이력 (매일 자동 갱신) — 최근 14일치를 확인해 동일 기업조합·동일 업종 반복을 피할 것
# 형식: 날짜 | 관(정책·기관) 소재 | 기업 소재(교차형은 조합 기업명 명시)

2026-08-02(일 17시40분, 수시) | (관 5건 8/1 회차와 동일 조합 유지, 카드 본문 재검증만 진행) 중기옴부즈만-공정위, 소진공-신용보증재단중앙회, 한국산업단지공단-창업진흥원, 중소벤처기업연구원(KOSBI)-중기중앙회, 한국여성경제인협회-중소기업유통센터 | 코웨이·위닉스(동일 유지), 한미반도체·제주반도체(동일 유지), 웅진씽크빅·교원(동일 유지), LX하우시스·한샘·현대리바트(신규, 코리아빌드위크 앞두고 2Q26 성적표 엇갈림·LX 확정329%증가vs한샘 추정치뿐vs현대리바트 2Q 미공시), 주성엔지니어링·케이엠더블유(신규, 7/31 코스닥 폭등장 주성+26.65%vsKMW 300억CB 풋옵션리스크)
2026-08-03(월 14시) | 벤처기업협회(BSI 첫100돌파)-중기중앙회(SBHI 80.0 제조업위축), 한국여성벤처협회(CEO혁신아카데미 교육형)-창업진흥원(팁스 자금형), 국회산자중기위(반도체특별법 8/11시행)-감사원·중진공(감사자문위 후속조치), 중견기업연합회(8/19~10/28 오너네트워킹)-한국벤처캐피탈협회(자율규제+팁스딜데이), 중소벤처기업연구원 KOSBI(중소기업동향 7월호)-이노비즈협회(DB손보 기술보호협약, 진행중) | SK매직·청호나이스(렌탈브랜드평판 3위정체vs5위반등), 힘펠·팅크웨어(신제품확장vs이륜차피벗), 스파크플러스·위워크코리아(강동신규출점vs포트폴리오재정비), 코스맥스·에이피알(ODM색조확대vs반도체디바이스R&D), GST·텔레칩스(美테일러CS법인vs콘티넨탈해외비중50%)
2026-08-04(14시, 지연배포) | 노동계vs소상공인연합회·중기중앙회(최저임금 이의제기), 국회산자중기위vs산업통상부(반도체특별법 주52시간예외 불발), 공정위vs소상공인시장진흥공단(하도급신고센터vs해외판로지원), 기술보증기금vs중소벤처기업진흥공단(유동화보증vs직접대출), 벤처기업협회vs창업진흥원(4만개사목표vs팁스딥테크) | 신성이엔지·에스에프에이(클린룸vsRMH 교차형), 한미반도체·주성엔지니어링(사상최대vs적자전환 교차형), 웅진프리드라이프·교원라이프(선수금1위vs결합상품추격 교차형), 웰크론·이브자리(손익방어vs실적비공개 교차형), 로체시스템즈·다산네트웍스(반도체디스플레이분산vs통신장비외길 교차형)
2026-08-05(14시) | 중견기업연합회-한국여성경제인협회(청년서포터즈vs여성CEO교육), 창업진흥원-중소기업옴부즈만(정책아이디어공모vs우수사례포상, 나란히8/3접수), 공정위-동반성장위원회(가맹실태조사화장품업종추가vs울산상생협의체), TIPA-KOSBI(R&D우수성과50선vs중소기업동향7월호), 벤처생태계(나라장터AI조달완화+모두의창업1만명)-한국산업단지공단(반도체산단지정1개월단축) | 텔레칩스·주성엔지니어링(SoC흑자전환vs영업이익78%감소 교차형), 에스원·위닉스(2Q실적안정성장vs폭염테마주가급등 교차형), 한샘·현대리바트(리모델링훈풍478%증가vs원가절감방어9%증가, 2Q확정치 교차형), 코웨이·경동나비엔(동남아확장추정치vs나비엔매직확정치74%급증 교차형), LX하우시스·노루페인트(2Q영업익329%급증vs1Q70%증가 시차 교차형)
2026-08-06(14시) | 공정위-공정위(세라젬 하도급법위반 vs 비에스비푸드/청년피자 가맹사업법위반), 산업통상자원부-한국산업단지공단(슈퍼을3기 대기업200억원 vs KICXUP스타트업1500만원), 중기부-중소기업옴부즈만(백년소상공인300개사 지정완료 vs 규제혁신표창 접수시작), 중기부-조달청(K-브랜드챌린지9개사 선별 vs 나라장터85.6조원 전면개편), 소진공-중기중앙회(S-GDP 착수 vs SBHI 8월80.0회복) | 현대백화점·지누스(그룹내 유통 사상최대vs가구계열사 적자전환 교차형), 파세코·위닉스(폭염테마 주가상승률 23.1%vs29.2% 교차형), 롯데렌탈·케이카(중고차 티카매출108.8%증가vs케이카시세하락 교차형), 두산퓨얼셀·뉴인텍(유럽수출1087억원vs국내흑자전환 교차형), 아이씨에이치·신성이엔지(갤Z8소재공급vs반도체클린룸1분기개선 교차형)
2026-08-07(23시30분, 정식 재배포) | 기술보증기금-TIPA(사업화보증800억vs투자유치19기40개사), 소상공인연합회-고용노동부(최저임금취소소송vs확정고시유지), 중기부-공정위(배달앱수수료항목공개vs온플법입법·스마트폰부당광고), 창업진흥원-한국산업단지공단(TIPS최대15억vsKICXUP최대1500만원), 소상공인시장진흥공단-소상공인연합회(분할상환제도95%집행vs행정소송) | KCC·삼화페인트(2Q영업익13.1%감소방어vs1Q영업익151%급감 교차형), 쿠쿠·쿠첸(연매출2조돌파vs음식물처리기7월356%급증 교차형), 교원라이프·보람상조(브랜드평판1위굳히기vs라이프큐레이터리브랜딩 교차형), 패스트파이브·스파크플러스(11년연속흑자vs완전자본잠식지속, 진행중), 대동·TYM(AI트랙터빠른상용화vs개방형생태계전략, 진행중)
2026-08-10(14시) | 중기중앙회-이노비즈협회(세제개편안 R&D투자공제vs국내생산세액공제), TIPA-한국산업단지공단(밸류업19기 투자유치멘토링vs킥스업챌린지앤로컬 PoC1500만원), 소상공인시장진흥공단-한국여성경제인협회(온누리상품권 추석할인vs여성기업 일자리허브매칭데이), 벤처기업협회·한국벤처캐피탈협회-국회산자중기위(코스닥규제완화5대과제vs입법지연, 진행중), 기술보증기금-신용보증재단중앙회(R&D유동화보증800억vs지역재보증) | 한솔제지·한세실업(2Q영업익162.8%증가 관세환급vs과테말라수직계열화 니어쇼어링 교차형), 케이카·홈플러스(KG모빌리티플랫폼 사명변경vs67개점 회생재개장 교차형), 삼표시멘트·한일시멘트(1Q영업익375%급증vs0.4%증가 기온보정강도수혜 교차형), 코웨이·바디프랜드(2Q매출1조4422억 4개국분산성장vs미국집중 해외실적 교차형), 휴롬·세라젬(적자전환에도 오너배당77.5%vs美웨스트할리우드매장철수, 진행중)
2026-08-11(17시,지연) | TIPA-중견기업연합회(밸류업19기 투자매칭vs노동규제완화10건 촉구), 금융위-신용보증재단중앙회(AI소상공인신용평가vs전통지역보증), 중기중앙회-공정위(세제개편유보적환영vs하도급서면실태조사8/11개시), 산업단지공단-벤처캐피탈협회(KICXUP대기업매칭vs스케일업팁스딜데이전국순회), 창업진흥원·중기부-중진공(모두의챌린지방산10→50개사vs청년창업사관학교, 진행중) | 코스맥스·콜마홀딩스(2Q사상최대vs매출감소속영업익54.7%급증 교차형), 깨끗한나라·유한킴벌리(오너3세대표이사선임vs전문경영체제 교차형), 잡코리아·사람인(AI후불채용 보안성vs자동화 교차형), 대교·웅진씽크빅(8월브랜드평판2위vs4위, 시니어다각화vsAI전환 교차형), 경동나비엔·귀뚜라미(가스보일러NCSI1위 2025vs2026 교차형, 진행중)
2026-08-12(22시,지연) | 이노비즈협회-메인비즈협회(세제개편 국내생산세액공제·가업상속vsR&D투자벤처·지방기업 강조차), 소상공인시장진흥공단-기술보증기금(8월브랜드평판2위7.70%상승vs3위1.11%하락), 중소기업옴부즈만-경기경제과학진흥원(규제혁신유공자표창모집vs상반기136건실제해결), 한국벤처캐피탈협회-신용보증기금(고용보험기금1200억PEF·VC지분투자vs2조원우대보증·딥테크8년70억보증), 공정거래위원회-중견기업연합회(하도급유통가맹실태조사10만개업체확대vs노동규제완화10건촉구) | 한국콜마-코스맥스(2Q역대최대, 기초선케어vs색조·美법인 성장동력차), 위닉스-신일전자(폭염특수 상한가vs1분기확정실적개선), 비상교육-아이스크림에듀(8월교육브랜드평판6위vs13위), KCC-유진기업-삼표시멘트(건축자재브랜드평판1위수성vs94%폭등3위탈환vs2위유지급락), 교원라이프-웅진프리드라이프(상조브랜드평판1위vs2위 상승률격차, 진행중)
2026-08-17(14시) | 벤처기업협회·한국벤처캐피탈협회-이노비즈협회(세제개편 업력완화vs국내생산공제), 중소기업중앙회-벤처기업협회(코스닥퇴출완화 원론vs구체수치, 금융위반응), 공영홈쇼핑·한국벤처투자-소상공인시장진흥공단·중소벤처기업연구원(KOSBI)·신용보증재단중앙회(8월브랜드평판 상위안정vs하위고전), 한국산업단지공단-감사원(감독·피감 역할반전 협력, 진행중), 메인비즈협회-기술보증기금(신용평가비용경감 민간협업vs전통보증) | 신세계까사(까사미아)·현대리바트(가구2Q 매출확대vs비용방어), 에스원·KT텔레캅(보안2Q 수익성회복vs경비매출부진), 무림페이퍼·깨끗한나라(제지2Q 관세환급vs원가개선), KCC·LX하우시스(건자재2Q 영업익감소vs329%급증), SAMG엔터테인먼트·손오공(완구 상반기 수익성vs외형성장)
2026-08-18(06시,지연12시42분) | 감사원-신용보증재단중앙회(특정감사 미해지보증 4배 적발vs기술보증기금 부실확대), 소상공인연합회-중기부·한전(폭염냉방비 카드결제완화 요구vs지원한도 소진), 한국벤처캐피탈협회-중기부·한국벤처투자(대형딜쏠림 상반기7.8조vsLP성장펀드 민간80%), 공정위-소상공인연합회(가맹실태조사 화장품업종 첫포함vs차액가맹금 최고), 중견기업연합회-고용노동부·중기중앙회(노동유연화10건 건의vs최저임금 이의제기, 규모별 온도차) | LX하우시스·한샘(2Q 매출확대vs매출감소속 영업익400%급증), 코스맥스·에이피알(K뷰티 ODM美법인첫흑자vs자체브랜드), 씰리침대·시몬스침대(아시아최대신공장vs3년연속1위수성), 팅크웨어·텔레칩스(車전장 2Q흑자전환vs3분기연속흑자), 잡코리아·진학사캐치(설문vs공고집계 교차확인, 채용시장위축)
2026-08-18(14시) | 소진공-지역신용보증재단(경남수해 직접융자vs특례보증), TIPA-창업진흥원(밸류업19기 투자유치코칭vs팁스 사업화자금), 국회산자중기위-옴부즈만(입법vs현장간담회), KOSBI-중기중앙회(통계vs설문 체감경기), 한국산업단지공단-중진공(AX인프라vs정책자금융자) | 코웨이-위닉스(2Q역대매출vs폭염특수 상한가), 커넥트웨이브-인크루트(다나와AI유입119%vsAI채용확대), 파세코-청호나이스(전시신제품vs자사몰300%증가), 웅진씽크빅-교원(2Q흑자전환vs작년적자지속), GST-제주반도체(반도체소부장 영업익10.6%감소vs팹리스 사상최대)
2026-08-19(06시) | 신용보증재단중앙회-중진공(재보증비율축소vs정책자금규모유지), 기술보증기금-벤처기업협회(인천1500억협약vsILS2026매칭모집), 창업진흥원-소진공(신규공고확대vs원데이접수제), 공정위-중견기업연합회(하도급실태조사2단계vs투자전망조사46.9%), 한국여성경제인협회-한국여성벤처협회(정규아카데미vsChatGPT특강) | 한미반도체·일진전기(美법인설립vs캐나다변압기수주), 신일전자·파세코(폭염확정실적vs체질개선), 주성엔지니어링·에스에프에이(2Q적자vs순이익808%), 에듀윌·휴넷(자격증트렌드리포트vs정부지원세미나), 케이엠더블유·가온미디어(적자축소vs흑자확대)
2026-08-19(14시) | 옴부즈만(규제혁신장관표창모집7/30~8/21)-이노비즈협회(이노비즈데이유공자포상8/18~9/11), 소진공(지능정보화위원회출범8/13)-한국벤처투자(모태펀드AI딥테크5500억원), 공정위(다비치안경첫제재14.77억+과징금가중고시)-신용보증기금(하반기7.1조원신규보증), TIPA(R&D우수성과50선연장)-메인비즈협회(AI상생플랫폼9월목표), 중견기업연합회(투자리더스포럼4기8/19개강)-한국산업단지공단(KICXUP챌린지로컬8/18마감) | 디엠에스·GST(반도체디스플레이장비 순손실축소vs3년내최대매출), 신성이엔지·웰크론한텍(클린룸흑자전환vsPF리스크해소흑자전환), 삼표산업·동화기업(R&D산학협력vs말레이시아전해액공장증설), 웅진·아주그룹(대기업집단재지정vs최대주주변경), 에스원·에스텍시스템(2Q영업익644억vs종합안전다각화)
2026-08-20(14시,지연15시27분) | 한국거래소·코스닥협회-한국벤처캐피탈협회(코스닥상반기영업익61.54%증가vs엑싯시장경색우려), 공정거래위원회-동반성장위원회(배달오픈마켓숙박플랫폼실태조사강제착수vs배달3사자율상생평가), 벤처기업협회-금융위원회·한국거래소(중복상장규제완화촉구vs규제강화+지주사세제특례2년연장엇박자), 중소벤처기업연구원(KOSBI)-기술보증기금(제3자사업승계과세특례분석vsiM뱅크승계M&A보증143억실행), 4대시중은행-중소기업중앙회·정책금융기관(중기대출연체율10년만최고0.55%vs상생금융확대요구) | 대동·TYM(중국공장청산리쇼어링대구증설vs안휘법인유지현지방침), 한국콜마·코스맥스(2Q역대최대 영업익증가율중심vs매출증가율중심), 코웨이·신일전자(S인덕션신제품출시vs상반기영업이익2.5배급증), 깨끗한나라·유한킴벌리(2Q영업익6억흑자전환vs그린캠프39회+캡슐세제신제품), 텔레칩스·일진전기(SoC용역매출3분기연속흑자vs북미향중전기2Q영업익91.4%증가)
2026-08-24(06시,조기배포) | 한국벤처투자-벤처기업협회(LP성장펀드1조원출범vs코스닥규제완화촉구), 이노비즈협회-창업진흥원(이노비즈데이유공자포상접수vsTIPS사업화자금직접지원), 벤처기업협회-TIPA(ILS2026도쿄모집vsR&D우수성과50선연장), 한국거래소-중견기업연합회(관리종목36개중15개액면병합vs중견사병합증자배당총동원), 고용노동부-소상공인연합회(최저임금1만320원확정고시vs냉방비카드수수료부담호소) | 모나미-모닝글로리(상장폐지기로가동률20%vs가구시장진출3년째매출감소), 한솔제지-무림페이퍼(관세환급영업익162.8%증가vs공정위과징금861억상반기순손실전환), 패스트파이브-스파크플러스(오피스쇼룸체험마케팅직영44곳vs2년연속흑자코스닥상장추진), 힘펠-위닉스(온디바이스AI음성인식환기가전vs폭염장마제습기수요상한가), 에스원-KT텔레캅-SK쉴더스(무인화AI원가율76.5%vsEV세이퍼AI아이즈영업익39.8%증가vs인프라투자2조원영업익18.3%감소)
2026-08-24(14시) | 한국벤처투자(브랜드평판5위 급등17.91%)-KOSBI·신용보증재단중앙회(하위권), 공정위(하도급대금 지급보증 의무화)-한국산업단지공단(KICXUP챌린지&로컬), 창업진흥원(모두의창업2차 1만명 확대)-중소벤처기업진흥공단(청년창업사관학교 정예화), TIPA(ValueUP19기 40개사 반년트랙)-한국벤처캐피탈협회(벤처투자톡톡 8/27 1일상담), 동반성장위원회(전통시장·영세가맹점 안전환경개선 최대15억)-소상공인시장진흥공단(전통시장 안전점검의날 정례) | 쿠쿠홀딩스-쿠첸(렌털확장 오너2세vs밥솥외길 오너3세 이익4분의1토막 교차형), 한샘-현대리바트(2Q26 매출감소속 영업익400%증가vs비용효율화9.4%증가 교차형), 신세계까사(까사미아)-이케아코리아(자주인수 매출104.5%증가vs대구신규출점검토 교차형), 글로벌스탠다드테크놀로지(GST)-에스에프에이(2Q확정실적 액체냉각검증vs해저케이블·중국디스플레이 수주전망 교차형), 한세실업-글로벌세아(AI DX 전사교육확산vs제지계열사 영업익목표1900억, 진행중)
2026-08-25(14시) | 소상공인연합회-중소기업중앙회(8월체감경기 BSI71.0연중최저vsSBHI80.0넉달만회복), 국회오세희의원-공정위(소상공인법개정안발의vs하도급지급보증11일시행), 벤처기업협회·한국벤처캐피탈협회·한국엔젤투자협회-창업진흥원(KVIPDAY엔젤VC매칭vsTIPS정부직접지원), 감사원-중소벤처기업진흥공단(하반기감사계획 창업벤처포함vs정책자금집행), TIPA-중소벤처기업연구원KOSBI(R&D현장집행vs통계분석) | 한미반도체-한화세미텍(TC본더특허소송 확전vs적반하장대응), 세라젬-바디프랜드(IPO 실적악화속강행vs지배구조리스크로무산), 락앤락-SGC솔루션(밀폐용기 영업익10배증가vs적자전환이유식할인전), 웰크론-이브자리(냉감침구 생산량2배확대vs최대50%할인전), SK매직-청호나이스(정수기렌탈 얼음정수기반값vs패키지특가전)
2026-08-26(14시,지연16시21분) | 공영홈쇼핑-홈앤쇼핑(8월홈쇼핑브랜드평판2위vs5위), 기술보증기금-신용보증기금(인천1500억지역협약보증vs혁신아이콘200억프로젝트보증), 공정위-TIPA(하도급실태조사10만개업체vs구매연계상생협력R&D우수성과포상), 한국벤처캐피탈협회-중견기업연합회(스케일업팁스딜데이전국순회vs투자리더스포럼4기), 창업진흥원-한국중소벤처기업유통원(TIPS사업화자금직접지원vs온라인브랜드소상공인육성TOPS) | 경동나비엔-귀뚜라미(2Q영업익64.6%증가상장공시vs비상장실적비공개), 웅진프리드라이프-보람상조(선수금1조4800억1위등극vs4년만에5위권밀림), 에이스침대-씰리침대(5월브랜드평판1위굳히기vsLIFE트렌드키워드마케팅), 사람인-잡코리아(AI헤드헌터에이전트핏출시vsAI채용활용80.8%실태조사), 초이락컨텐츠컴퍼니-레고코리아(국내자체IP2위굳히기vs글로벌프리미엄1위수성)
2026-08-27(14시,지연16시55분) | 기술보증기금·신용보증기금(KB국민은행 산단공3500억vs하나은행Y-BRIDGE청년2000억), 이노비즈협회-중견기업연합회(고용노동부 일생활균형교육vs근로시간유연화촉구), 한국여성경제인협회-한국여성벤처협회(경상권CEO아카데미vs대구경북 경일대산학협력), TIPA-창업진흥원(베트남스마트공장ODA정부간협력vs글로벌창업허브175억직접지원), 감사원-국회산자중기위(하반기감사계획 창업벤처포함vs반도체특별법8/11시행 후속점검) | 아이스크림에듀-메가스터디교육(상반기흑자전환vs2Q영업익13%감소 교차형), 웅진씽크빅-대교(AI교과서신사업vs시니어장기요양전환 교차형), 현대백화점-지누스(2Q본업호조vs4분기연속적자 교차형), 롯데렌탈-케이카(2Q영업익9.6%증가vs호르무즈해협발적자전환 교차형), 신성이엔지-케이엔솔-씨케이솔루션(클린룸3사 상반기매출18.3%증가 신성이엔지86%견인 교차형)
2026-08-28(14시,지연16시56분) | 메인비즈협회-신용보증재단중앙회(핀테크 대안신용평가vs전통 지역보증), TIPA-이노비즈협회(구매연계R&D우수성과 유공포상vs이노비즈데이 유공자포상), 공정위(대규모유통업법 시행령·과징금고시 개정 8/27예고vs하도급법 지급보증의무화 8/11시행), 중소기업옴부즈만-벤처기업협회(규제혁신장관표창vsILS2026참가기업, 접수마감8/21 동일), 중소벤처기업진흥공단-소상공인시장진흥공단(청년창업사관학교 산업AI엑스포 부스지원vs스마트상점 기술보급사업 2차모집) | 잡코리아-사람인(AI후불형채용 경쟁, 하반기롱테일채용 확산), 위닉스-청호나이스(폭염특수 주가급등vs자사몰매출300%증가), 코스맥스-일진전기(뷰티ODM 美법인첫흑자vs중전기 북미·싱가포르수주, 해외확대 교차형), 신세계까사(까사미아)-한샘(가구업계 소파·온라인vs주방 강점 차별화), 예스티-주성엔지니어링(반도체장비 HBM언더필장비 성장vs고객장비개조로 수주위축)
